setting,date,source,indicator_name,dimension,subgroup,estimate,population,iso3,whoreg6,wbincome2024
Afghanistan,2015,ICEH - DHS,BCG immunization coverage among one-year-olds (%),Age (2 groups) (15-49),15-19 years,75.71775055,315.1542358,AFG,Eastern Mediterranean,Low income
Afghanistan,2011,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Age (2 groups) (15-49),15-19 years,,,AFG,Eastern Mediterranean,Low income
Afghanistan,2015,ICEH - DHS,BCG immunization coverage among one-year-olds (%),Age (2 groups) (15-49),20-49 years,73.61743927,5392.82959,AFG,Eastern Mediterranean,Low income
Afghanistan,2011,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Age (2 groups) (15-49),20-49 years,,,AFG,Eastern Mediterranean,Low income
Afghanistan,2022,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Age (2 groups) (15-49),20-49 years,,,AFG,Eastern Mediterranean,Low income
Afghanistan,2022,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Age (2 groups) (15-49),15-19 years,,,AFG,Eastern Mediterranean,Low income
Afghanistan,2015,ICEH - DHS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 10 (richest),82.51660156,490.4056396,AFG,Eastern Mediterranean,Low income
Afghanistan,2015,ICEH - DHS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 5,70.88996887,561.9609985,AFG,Eastern Mediterranean,Low income
Afghanistan,2011,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 10 (richest),87.037323,232.9944305,AFG,Eastern Mediterranean,Low income
Afghanistan,2015,ICEH - DHS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 7,74.96744537,599.3503418,AFG,Eastern Mediterranean,Low income
Afghanistan,2011,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 9,67.86654663,214.2266846,AFG,Eastern Mediterranean,Low income
Afghanistan,2011,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 4,65.36435699,278.0209656,AFG,Eastern Mediterranean,Low income
Afghanistan,2011,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 6,64.47294617,243.8939209,AFG,Eastern Mediterranean,Low income
Afghanistan,2022,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 3,60.20188141,614.9937744,AFG,Eastern Mediterranean,Low income
Afghanistan,2011,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 5,51.73513794,250.0262909,AFG,Eastern Mediterranean,Low income
Afghanistan,2022,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 2,50.80340576,687.131958,AFG,Eastern Mediterranean,Low income
Afghanistan,2015,ICEH - DHS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 6,72.98558044,598.6413574,AFG,Eastern Mediterranean,Low income
Afghanistan,2015,ICEH - DHS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 2,65.36617279,540.5968018,AFG,Eastern Mediterranean,Low income
Afghanistan,2022,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 1 (poorest),39.06401825,671.2155151,AFG,Eastern Mediterranean,Low income
Afghanistan,2022,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 9,85.29703522,598.1246948,AFG,Eastern Mediterranean,Low income
Afghanistan,2015,ICEH - DHS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 3,69.39087677,540.3149414,AFG,Eastern Mediterranean,Low income
Afghanistan,2022,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 7,72.81420135,653,AFG,Eastern Mediterranean,Low income
Afghanistan,2022,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 8,69.9370575,575.1682739,AFG,Eastern Mediterranean,Low income
Afghanistan,2022,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 4,59.43322754,647.1513672,AFG,Eastern Mediterranean,Low income
Afghanistan,2022,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 6,63.55690384,687.7958374,AFG,Eastern Mediterranean,Low income
Afghanistan,2011,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 1 (poorest),56.02123642,251.3333435,AFG,Eastern Mediterranean,Low income
Afghanistan,2015,ICEH - DHS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 4,65.78277588,585.925415,AFG,Eastern Mediterranean,Low income
Afghanistan,2011,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 2,51.73764038,280.8624268,AFG,Eastern Mediterranean,Low income
Afghanistan,2015,ICEH - DHS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 9,85.1947403,570.6681519,AFG,Eastern Mediterranean,Low income
Afghanistan,2011,ICEH - MICS,BCG immunization coverage among one-year-olds (%),Economic status (wealth decile),Decile 3,58.53201675,272.6165466,AFG,Eastern Mediterranean,Low income
